// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Oksana, 117
Marikki, 117
Ritva-Leena, 117
Pälvi, 116
Nona, 116
Nonna, 116
Inge, 116
Daniella, 116
Lioudmila, 116
Evgenia, 116
Angelika, 116
Menni, 115
Senna, 115
Anja-Riitta, 115
Eeva-Marja, 114
Ia, 114
Freya, 114
Evelyn, 113
Natalja, 113
Ghita, 113
Unelma, 113
Kim, 113
Yrsa, 113
Odessa, 112
Kanerva, 112
Anna-Kristiina, 111
Ingela, 111
Anna-Emilia, 111
Minnea, 111
Annikka, 111
Enja, 111
Kristel, 111
Merituuli, 110
Pirre, 109
Talvikki, 109
Ringa, 109
Evelin, 109
Janessa, 109
Ulla-Maria, 108
Kaisa-Liisa, 107
Terese, 107
Sivi, 107
Tuula-Maija, 107
Halla, 107
Merja-Riitta, 107
Linne, 107
Nitta, 107
Jennica, 107
Linda-Maria, 107
Ann-Lis, 106
Iida-Sofia, 106
Katharina, 106
Zainab, 106
Nicola, 106
Kitty, 106
Marjaleena, 106
Satu-Maria, 106
Eleonoora, 106
Tilma, 105
Lillemor, 105
Friida, 105
Oosa, 105
Suvi-Maria, 105
Monna, 105
Arina, 105
Saida, 105
Tuisku, 104
Hedda, 104
Milaja, 104
Liubov, 103
Ulla-Mari, 103
Dora, 103
Simone, 103
Majvor, 103
Ona, 103
Alena, 103
Maj-Gret, 103
Ellie, 103
Anisa, 102
Nadejda, 102
Peggy, 102
Lauha, 102
Rachel, 102
Nova, 101
Safia, 101
Adriana, 101
Beda, 101
Adina, 101
Mirja-Leena, 100
Marion, 100
Serena, 100
Marja-Helena, 100
Iman, 100
Jetta, 99
Annaliisa, 99
Nelma, 99
Rhea, 99
Sari-Anne, 99
Myy, 99
Runa, 99
Nicolina, 99
Sira, 98
Norma, 98
Tuike, 98
Alexia, 98
Ludmila, 97
Sirje, 97
Maud, 97
Antonina, 97
Gunn, 97
Leah, 97
Eimi, 97
Daisy, 97
Sera, 97
Arja-Riitta, 97
Josephine, 97
Anne-Riitta, 97
Ulla-Marja, 96
Ruska, 96
Riikka-Maria, 96
Raini, 96
Sahra, 96
Kiara, 95
Alessia, 95
Tyra, 95
Amal, 95
Paju, 95
Nanne, 95
Saskia, 95
Sallamaari, 95
Britt-Mari, 95
Jolanda, 94
Samantha, 94
Lyydi, 94
Juni, 94
Elsie, 94
Leyla, 94
Sylva, 94
Milda, 93
Eija-Leena, 93
Rinna, 93
Janiina, 93
Wilhelmina, 92
Ariana, 92
Annariina, 92
Emma-Sofia, 92
Tyyni, 92
Sabine, 91
Peppi-Lotta, 91
Hanna-Riitta, 91
Ulrica, 91
Hellen, 91
Anna-Marja, 90
Gun-Lis, 90
Rilla, 90
Neelia, 90
Juliet, 90
Vivia, 89
Mariela, 89
Gisela, 89
Estrid, 89
Kate, 89
Tutta, 89
Jekaterina, 88
Anni-Mari, 88
Rania, 88
Elmiina, 88
Sinja, 88
Zara, 88
Sella, 88
Nikita, 88
Hannakaisa, 87
Alexa, 87
Minnamari, 87
Alise, 87
Ulla-Maj, 87
Irja-Liisa, 87
Lulu, 87
Hilve, 87
Minna-Leena, 86
Tatja, 86
Emmi-Lotta, 86
Katerina, 86
Inga-Britt, 86
Urpu, 86
Terja, 86
Anni-Sofia, 86
Celine, 86
Ljubov, 85
Sara-Maria, 85
Tita, 85
Anja-Liisa, 85
Ainu, 85
Sonya, 85
Hafsa, 85
Vella, 85
Serafiina, 85
Minna-Maarit, 85
Minna-Riitta, 84
Ea, 84
Seelia, 84
Nessa, 84
Tuula-Marja, 84
Tiina-Riitta, 84
Kirsi-Maarit, 84
Marjaliisa, 84
Mirette, 83
Liisa-Maria, 83
Anna-Stiina, 83
Kirsimarja, 83
Hennariikka, 83
Emma-Lotta, 83
Khadija, 83
Ewa, 83
Jannina, 82
Helly, 82
Kaisa-Mari, 82
Marija, 82
Inez, 82
Sanna-Maarit, 81
Merike, 81
Sharon, 81
Maarika, 81
Nada, 81
Zeinab, 81
Jennina, 81
Vellamo, 81
Tiuku, 80
Anna-Katariina, 80
Valborg, 80
Mei, 80
Aniitta, 80
Gunn-Britt, 80
Henny, 80
Maura, 79
Asma, 79
Merja-Leena, 79
Rauna, 79
Nanny, 79
Isabell, 79
Jenna-Maria, 79
Sini-Maria, 79
Leia, 78
Anna-Karin, 78
Meira, 78
Marja-Kaarina, 78
Rosaliina, 78
Salla-Maaria, 78
Mirikli, 77
Gunda, 77
Anitra, 77
Milli, 77
Mariann, 77
Anne-Kristiina, 77
Sumaya, 77
Chloe, 77
Manda, 76
Annabel, 76
Fiina, 76
Satu-Marja, 76
Marja-Kaisa, 76
Adela, 76
Pirkko-Leena, 76
Hanna-Reetta, 76
Minna-Kaisa, 76
Ayan, 76
Raina, 75
Lauriina, 75
Enne, 75
Valpuri, 75
Hani, 75
Gina, 75
Teresia, 74
Petriina, 74
Kaija-Riitta, 74
Celia, 74
Gitte, 74
Gitta, 74
Hodan, 74
Sunna, 74
Eea, 73
Li, 73
Meja, 73
Tiina-Kaisa, 73
Inge-Maj, 73
Thuy, 73
Ann-Katrin, 73
Jill, 73
Grace, 72
Ireene, 72
Etta, 72
Eela, 72
Opri, 72
Fatma, 72
Ensi, 72
Maryan, 71
Line, 71
Ronya, 71
Asha, 71
Sini-Tuulia, 71
Janetta, 71
Anna-Karoliina, 71
Mirkku, 70
Anne-Marita, 70
Siviä, 70
Beeda, 70
Mari-Anna, 70
Nanette, 70
Niina-Maria, 70
Manna, 70
Alyssa, 70
Enya, 70
Pirta, 70
Anna-Lotta, 70
Jenni-Mari, 70
Anna-Maaria, 70
Sirkka-Leena, 70
Thanh, 69
Juliette, 69
Lotta-Maria, 69
Katherine, 69
Suvituuli, 69
Anu-Riikka, 68
Zoe, 68
Hamdi, 68
Jonna-Maria, 68
Salla-Maarit, 68
Sanna-Riikka, 68
Paola, 68
Nea-Maria, 68
Huda, 68
Liisa-Maija, 68
Sole, 68
Mianna, 67
Lana, 67
Anni-Kaisa, 67
Nadine, 67
Nimo, 67
Terttu-Liisa, 67
Kirsi-Mari, 67
Venni, 67
Cajsa, 67
Estelle, 67
Meija, 67
Amélie, 67
Minda, 66
Nemi, 66
Eelin, 66
Lise, 66
Ulriikka, 66
Miida, 66
Lucy, 66
Liliana, 66
Berta, 66
Bernice, 65
Tora, 65
Dagmar, 65
Halima, 65
Kiana, 65
Aicha, 65
Eriika, 65
Nelle, 65
Marje, 65
Iina-Maria, 65
Mella, 65
Kristin, 64
Lova, 64
Taiga, 64
Elli-Maija, 64
Mona-Lisa, 64
Elif, 64
Eeva-Mari, 64
Tianna, 64
Mariina, 64
Tiila, 63
Rigmor, 63
Riina-Maria, 63
Tii, 63
Ros-Mari, 63
Anna-Riina, 63
Vienna, 63
Zaida, 63
Isra, 63
Yasemin, 63
Clary, 63
Kristine, 63
Mitra, 63
Leonora, 63
Venja, 63
Pepita, 63
Merika, 63
Unni, 63
Anna-Greta, 62
Abigail, 62
Liselott, 62
Greetta, 62
Noor, 62
Reine, 62
Gia, 62
Hagar, 62
Katinka, 62
Noora-Maria, 62
Evelia, 62
Marjo-Riikka, 61
Minttu-Maria, 61
Anastassia, 61
Liida, 61
Suzan, 61
